ExtractedComposition_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
5581483,,0.8455259,
5581484,,0.1462512,
5581485,,0.0029996,
5581486,,0.0054538,
5581487,,0.0014404,
5581488,,0.0007192,
5581489,,0.0003192,
5581490,,0.0002216,
5581491,,0.0004328,
5581492,,0.0001918,
5581493,,0.0003272,
5581494,,8.66e-05,
5581495,,6.4e-05,
5581496,,5.46e-05,
5581497,,5.2e-05,
5581498,,1.25e-05,
5581499,,1.74e-05,
5629123,,0.0002659,
5601500,,0.0,
5656680,,9.4e-06,
5623572,,2.71e-05,
5612536,,2.2e-06,
5590464,,0.0803691,
5645644,,8.3e-06,
5634608,,0.0001089,
5607207,,5.7e-06,
5662387,,9.6e-06,
5618243,,2.2e-06,
5596171,,0.0005166,
5651351,,7.07e-05,
5640315,,0.0001293,
5629379,,2.34e-05,
5586798,,0.0003012,
5587054,,2.8e-06,
5601411,,5.58e-05,
5656591,,3.44e-05,
5623483,,5.2e-06,
5612447,,5.09e-05,
5590375,,1.1e-06,
5645555,,3.9e-05,
5634519,,9e-07,
5607118,,0.0044339,
5662298,,2e-07,
5618154,,0.9036854,
5596082,,0.0004618,
5651262,,4.29e-05,
5640226,,5e-07,
5629290,,0.8643823,
5601667,,0.8361002,
5656847,,0.0,
5623739,,0.0,
5612703,,1.66e-05,
5590631,,1.43e-05,
5645811,,0.0015525,
5634775,,1.44e-05,
5586965,,2.23e-05,
5601322,,6.54e-05,
5656502,,0.1189063,
5623394,,0.8927229,
5612358,,3e-06,
5590286,,2.7e-05,
5645466,,0.0002609,
5634430,,5.6e-06,
5607029,,4.7e-06,
5662209,,1e-06,
5618065,,4.17e-05,
5595993,,4.18e-05,
5651173,,9.71e-05,
5640137,,0.8625023,
5629201,,3.02e-05,
5601578,,1e-07,
5656758,,1.48e-05,
5623650,,0.0003809,
5612614,,0.0010429,
5590542,,0.1826148,
5645722,,2.2e-06,
5634686,,0.0001237,
5607285,,0.0002409,
5662465,,5.66e-05,
5618321,,6.38e-05,
5596249,,0.0006913,
5651429,,0.2335665,
5640393,,4e-07,
5586876,,1.08e-05,
5629112,,4.38e-05,
5601489,,5.5e-06,
5656669,,0.0,
5623561,,0.0005877,
5612525,,3.58e-05,
5590453,,3e-07,
5645633,,4.09e-05,
5634597,,5.93e-05,
5607196,,1.64e-05,
5662376,,8e-06,
5618232,,1.08e-05,
5596160,,9.6e-06,
