ExtractedComposition_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
6302465,,1.0,
6302484,,1.0,
6302482,0.99,,1.0
6302431,0.0,,1.0
6302466,,1.0,
6302425,0.55,,0.95
6302479,0.65,,0.9
6302474,0.75,,0.85
6302471,0.65,,0.9
6302452,0.05,,0.85
6302426,0.0,,0.3
6302480,0.03,,0.15
6302467,0.0,,0.2
6302475,0.15,,0.25
6302453,0.0,,0.8
6302472,0.03,,0.15
6302432,0.0,,0.15
6302483,0.0,,0.01
6302468,0.0,,0.2
6302454,0.0,,0.35
6302473,0.07,,0.2
6302433,0.0,,0.05
6302476,0.0,,0.15
6302427,0.0,,0.3
6302481,0.07,,0.2
6302428,0.0,,0.2
6302455,0.0,,0.3
6302434,0.0,,0.15
6302469,0.0,,0.2
6302477,0.0,,0.15
6302478,0.0,,0.05
6302429,0.0,,0.05
6302456,0.0,,0.2
6302470,0.0,,0.05
6302435,0.0,,0.05
6302430,0.0,,0.05
6302457,0.0,,0.2
6302436,0.0,,0.01
6302437,0.0,,0.05
6302458,0.0,,0.2
6302459,0.0,,0.2
6302438,0.0,,0.01
6302439,0.0,,0.05
6302460,0.0,,0.15
6302461,0.0,,0.1
6302440,0.0,,0.4
6302462,0.0,,0.05
6302441,0.0,,0.1
6302442,0.0,,0.2
6302463,0.0,,0.05
6302464,0.0,,0.05
6302443,0.0,,1.0
6302444,0.0,,0.3
6302445,0.0,,0.005
6302446,0.0,,0.005
6302447,0.0,,0.005
6302448,0.0,,0.005
6302449,0.0,,0.85
6302450,0.0,,0.2
6302451,0.0,,0.7
