data_document_id,data_document_filename,prod_name,doc_date,rev_num,raw_category,raw_cas,raw_chem_name,report_funcuse,raw_min_comp,raw_max_comp,unit_type,ingredient_rank,raw_central_comp,component
1496632,110.pdf,"110 micron moly racing oil sae 30, 40, and 50",10/15/2014,1,engine oil for gasoline and alcohol fuel powered high performance vehicles.,,base oil(s)(*),,60 , 100,3,1,,
1496633,112.pdf,"112 htc oil iso 22, 32, 46, 68, 100, 150, 220 and 320",04/30/2019,2,petroleum base hydraulic fluid and air compressor oil.,,,,,,,,,
1496634,112A.pdf,"112a htc oil extra filtration iso 22, 32, 46 and 68",04/30/2019,2,petroleum base hydraulic fluid and air compressor oil.,,,,,,,,,
1496635,112NZ.pdf,"112nz htc no zinc iso 32, 46 and 68",07/15/2016,1,"synthetic lubricating oil for hydraulics, bearings and gears.",68037-01-4,"1-decene, homopolymer, hydrogenated",,60 , 100,3,1,,
1496636,113.pdf,113 varniclean,05/23/2015,1,petroleum base varnish remover,104-76-7,2-ethylhexanol,,10,20,3,1,,
1496637,114530.pdf,114530 cng synthetic plus cng engine oil 5w-30,10/4/2018,1,"for cng (compressed natural gas), lng (liquefied natural gas) or lpg (liquefied petroleum gas).",,base oil(s)(*),,60 , 100,3,1,,
1496637,114530.pdf,114530 cng synthetic plus cng engine oil 5w-30,10/4/2018,1,"for cng (compressed natural gas), lng (liquefied natural gas) or lpg (liquefied petroleum gas).",68037-01-4,"1-decene, homopolymer, hydrogenated",,40 , 60,3,2,,
1496638,114CNG.pdf,114cng synthetic plus cng engine oil 15w-40,10/15/2014,1,"for cng (compressed natural gas), lng (liquefied natural gas) or lpg (liquefied petroleum gas).",,base oil(s)(*),,60 , 100,3,1,,
1496638,114CNG.pdf,114cng synthetic plus cng engine oil 15w-40,10/15/2014,1,"for cng (compressed natural gas), lng (liquefied natural gas) or lpg (liquefied petroleum gas).",68037-01-4,"1-decene, homopolymer, hydrogenated",,10 , 30,3,2,,
1496639,114LF.pdf,114lf synthetic plus sour natural gas engine oil sae 30 & 40,10/15/2014,1,for medium to high speed four-cycle gas engines running on landfill or sour gas.,,base oil(s)(*),,60 , 100,3,1,,
1496639,114LF.pdf,114lf synthetic plus sour natural gas engine oil sae 30 & 40,10/15/2014,1,for medium to high speed four-cycle gas engines running on landfill or sour gas.,121158-58-5,"phenol, dodecyl-, branched",,0.1 , 1,3,2,,
1496640,114S.pdf,114s synthetic plus natural gas engine oil sae 30 & 40,10/15/2014,1,for stationary 2-cycle and 4-cylcle stoichiometric and lean burning natural gas engines.,,base oil(s)(*),,60 , 100,3,1,,
1496640,114S.pdf,114s synthetic plus natural gas engine oil sae 30 & 40,10/15/2014,1,for stationary 2-cycle and 4-cylcle stoichiometric and lean burning natural gas engines.,68037-01-4,"1-decene, homopolymer, hydrogenated",,10 , 30,3,2,,
1496641,115.pdf,115 simplex torque converter fluid,01/15/2015,1,multi-functional tractor hydraulic transmission oil.,,base oil(s)(*),,60 , 100,3,1,,
1496641,115.pdf,115 simplex torque converter fluid,01/15/2015,1,multi-functional tractor hydraulic transmission oil.,68649-42-3,zinc alkyldithiophosphate,,1,5,3,2,,
1496641,115.pdf,115 simplex torque converter fluid,01/15/2015,1,multi-functional tractor hydraulic transmission oil.,101-02-0,triphenyl phosphite,,0.1 , 1,3,3,,
1496642,116BC.pdf,116bc bar and chain lube,10/24/2019,2,engine oil for high performance gasoline vehicles.,,base oil(s)(*),,10 , 30,3,1,,
1496643,119.pdf,"119 white industrial oil iso 22, 32, 46, 68, and 100",05/15/2015,1,white spindle oil for use in textile and cotton mills.,,,,,,,,,
1496644,125.pdf,125 honing oil,03/15/2016,1,metal honing oil with sulfur.,,base oil(s)(*),,90 , 100,3,1,,
1496644,125.pdf,125 honing oil,03/15/2016,1,metal honing oil with sulfur.,64742-47-8,"distillates (petroleum), hydrotreated light",,5 , 10,3,2,,
1496644,125.pdf,125 honing oil,03/15/2016,1,metal honing oil with sulfur.,68515-88-8,"pentene, 2,4,4-trimethyl-, sulfurized",,3 , 5,3,3,,
1496645,127.pdf,"127 moly rock drill iso 32, 46, 68, 100, 150, 220 and 320",06/15/2015,1,"water soluble, anti-wear, extreme pressure, emulsifiable oil for rock drills.",,base oil(s)(*),,60 , 100,3,1,,
