ExtractedChemical_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
1446680,0.15,,0.2
1446676,0.001,,0.01
1446667,0.1,,0.15
1446664,0.05,,0.1
1446661,0.05,,0.1
1446636,0.01,,0.05
1446634,0.01,,0.05
1446625,0.4,,1.0
1446603,0.05,,0.1
1446600,0.05,,0.1
1446598,0.01,,0.05
1446594,0.4,,1.0
1446592,0.05,,0.1
1446586,0.05,,0.1
1446584,0.01,,0.05
1446583,0.01,,0.05
1446571,0.2,,0.25
1446562,0.1,,0.15
1446559,0.01,,0.05
1446556,0.05,,0.1
1446555,0.01,,0.05
1446554,0.01,,0.05
1446552,0.01,,0.05
1446548,0.05,,0.1
1446543,0.05,,0.1
1446539,0.4,,1.0
1446535,0.05,,0.1
1446534,0.01,,0.05
1446531,0.05,,0.1
1446528,0.005,,0.015
1446527,0.01,,0.05
1446523,0.01,,0.05
1446499,0.01,,0.05
1446498,0.05,,0.1
1446492,0.3,,0.35
1446491,0.01,,0.05
1446490,0.01,,0.05
1446487,0.05,,0.1
1446485,0.01,,0.05
1446473,0.2,,0.25
1446465,0.005,,0.015
1446462,0.05,,0.1
1446460,0.1,,0.15
1446458,0.01,,0.05
1446456,0.01,,0.05
1446454,0.01,,0.05
1446446,0.05,,0.1
1446442,0.05,,0.1
1446441,0.3,,0.35
1446436,0.05,,0.1
1446432,0.001,,0.01
1446424,0.05,,0.1
1446422,0.01,,0.05
1446394,0.01,,0.05
1446390,0.05,,0.1
1446382,0.1,,0.15
1446378,0.01,,0.05
1446375,0.01,,0.05
1446369,0.01,,0.05
1446367,0.01,,0.05
1446359,0.01,,0.05
1446357,0.01,,0.05
1446355,0.05,,0.1
1446351,0.05,,0.1
1446344,0.2,,0.25
1446341,0.01,,0.05
1446338,0.05,,0.1
1446337,0.05,,0.1
1446335,0.01,,0.05
1446332,0.05,,0.1
1446327,0.05,,0.1
1446314,0.01,,0.05
1446311,0.01,,0.05
1446305,0.05,,0.1
1446304,0.01,,0.05
1446299,0.01,,0.05
1446294,0.01,,0.05
1446293,0.01,,0.05
1446292,0.01,,0.05
1446285,0.4,,1.0
1446283,0.05,,0.1
1446281,0.01,,0.05
1446276,0.05,,0.1
1446268,0.01,,0.05
1446263,0.01,,0.05
1446262,0.01,,0.05
1446259,0.05,,0.1
1446255,0.05,,0.1
1446253,0.01,,0.05
1446245,0.2,,0.25
1446232,0.05,,0.1
1446228,0.1,,0.15
1446225,0.05,,0.1
1446222,0.05,,0.1
1446202,0.01,,0.05
1446195,0.05,,0.1
1446194,0.01,,0.05
1446193,0.001,,0.01
1446191,0.01,,0.05
1446189,0.01,,0.05
1446186,0.05,,0.1
1446178,0.2,,0.25
1446177,0.01,,0.05
1446163,0.01,,0.05
1446154,0.01,,0.05
1446153,0.01,,0.05
1446147,0.2,,0.25
1446138,0.4,,1.0
1446134,0.4,,1.0
1446132,0.1,,0.15
1446130,0.4,,1.0
1446121,0.2,,0.25
1446115,0.1,,0.15
1446110,0.1,,0.15
1446106,0.05,,0.1
1446104,0.05,,0.1
1446102,0.4,,1.0
1446097,0.01,,0.05
1446093,0.35,,0.4
1446089,0.05,,0.1
1446087,0.05,,0.1
1446085,0.01,,0.05
1446079,0.01,,0.05
1446070,0.01,,0.05
1446068,0.01,,0.05
1446066,0.01,,0.05
1446065,0.01,,0.05
1446053,0.1,,0.15
1446051,0.01,,0.05
1446048,0.05,,0.1
1446047,0.05,,0.1
1446045,0.01,,0.05
1446038,0.05,,0.1
1446034,0.01,,0.05
1446033,0.01,,0.05
1446026,0.1,,0.15
1446024,0.01,,0.05
1446023,0.01,,0.05
1446020,0.05,,0.1
1446016,0.01,,0.05
1446012,0.05,,0.1
1446010,0.01,,0.05
1446004,0.001,,0.01
1445988,0.05,,0.1
1445984,0.001,,0.01
1445982,0.05,,0.1
1445974,0.1,,0.15
1445973,0.05,,0.1
1445971,0.05,,0.1
1445957,0.25,,0.3
1445955,0.3,,0.35
1445954,0.05,,0.1
1445949,0.1,,0.15
1445947,0.01,,0.05
1445945,0.01,,0.05
1445944,0.01,,0.05
1445939,0.05,,0.1
1445932,0.001,,0.01
1445929,0.1,,0.15
1445925,0.2,,0.25
1445919,0.4,,1.0
1445914,0.05,,0.1
1445911,0.01,,0.05
1445908,0.05,,0.1
1445906,0.05,,0.1
1445900,0.005,,0.015
1445897,0.05,,0.1
1445896,0.4,,1.0
1445893,0.05,,0.1
1445891,0.01,,0.05
1445890,0.01,,0.05
1445886,0.05,,0.1
1445873,0.01,,0.05
1445869,0.01,,0.05
1445867,0.05,,0.1
1445865,0.01,,0.05
1445859,0.2,,0.25
1445858,0.01,,0.05
1445853,0.05,,0.1
1445846,0.35,,0.4
1445845,0.001,,0.01
1445839,0.05,,0.1
1445810,0.2,,0.25
1445808,0.01,,0.05
1445807,0.01,,0.05
1445804,0.1,,0.15
1445803,0.01,,0.05
1445800,0.05,,0.1
1445798,0.01,,0.05
1445796,0.05,,0.1
1445792,0.05,,0.1
1445783,0.3,,0.35
1445781,0.05,,0.1
1445776,0.001,,0.01
1445762,0.1,,0.15
1445756,0.2,,0.25
1445753,0.01,,0.05
1445749,0.05,,0.1
1445747,0.01,,0.05
1445735,0.1,,0.15
1445723,0.05,,0.1
1445719,0.05,,0.1
1445709,0.15,,0.4
1445703,0.001,,0.01
1445701,0.01,,0.05
1445697,0.1,,0.15
1445693,0.05,,0.1
1445689,0.05,,0.1
1445685,0.05,,0.1
1445682,0.05,,0.1
1445680,0.01,,0.05
1445675,0.001,,0.01
1445674,0.4,,1.0
1445668,0.05,,0.1
1445665,0.01,,0.05
1445664,0.01,,0.05
1445653,0.01,,0.05
1445650,0.05,,0.1
1445649,0.01,,0.05
1445647,0.01,,0.05
1445639,0.01,,0.05
1445636,0.05,,0.1
1445633,0.05,,0.1
1445631,0.05,,0.1
1445629,0.01,,0.05
1445627,0.01,,0.05
1445623,0.35,,0.4
1445621,0.05,,0.1
1445610,0.15,,0.2
1445603,0.35,,0.4
1445602,0.01,,0.05
1445600,0.01,,0.05
1445597,0.01,,0.05
1445592,0.05,,0.1
1445591,0.01,,0.05
1445579,0.35,,0.4
1445567,0.1,,0.15
1445562,0.05,,0.1
1445561,0.01,,0.05
1445557,0.3,,0.35
1445556,0.01,,0.05
1445553,0.01,,0.05
1445552,0.01,,0.05
1445550,0.01,,0.05
1445548,0.01,,0.05
1445546,0.05,,0.1
1445542,0.3,,0.35
1445539,0.01,,0.05
1445533,0.05,,0.1
1445529,0.01,,0.05
1445527,0.05,,0.1
1445516,0.05,,0.1
1445514,0.005,,0.015
1445512,0.01,,0.05
1445506,0.05,,0.1
1445504,0.01,,0.05
1445501,0.05,,0.1
1445498,0.05,,0.1
1445495,0.05,,0.1
1445494,0.01,,0.05
1445488,0.15,,0.2
